"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","Appraisal_Date","Utility_Sewer","Utility_Water","Utility_Electric","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","row_num"
"1749",317112006,735000,2018-09-24,"2001-06-04",5,2017-04-24,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1750",317117001,565000,2018-04-13,"2001-06-04",9.95,2016-04-14,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1751",317118010,130000,2018-12-16,"2001-06-04",9.88,2016-04-14,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE","View Avg",NA,219,"N","N","N","N","N","N","N",1
"1752",317133005,1e+05,2018-08-29,"2001-06-04",20,2016-03-24,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,219,"N","Y","N","N","N","N","N",1
"1753",317134014,355000,2018-02-12,"2001-06-04",0.9899,2016-05-09,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","Y","N","N","N","N","N",1
"1754",317173021,431000,2018-07-25,"2001-06-13",10,2016-10-12,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1755",317191009,115000,2018-08-02,"2001-06-13",5.95,2016-11-30,"SEWER/SEPTIC NO","WATER NO","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1756",317198003,314900,2018-03-23,"2001-06-13",1.2199,2016-12-22,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
"1757",317213038,30000,2018-10-11,"2001-06-13",4.73,2016-09-21,"SEWER/SEPTIC NO","WATER NO","POWER AVAILABLE",NA,NA,219,"N","N","N","N","N","N","N",1
"1758",317218003,339000,2018-10-24,"2001-06-13",1.2899,2016-09-19,"SEWER/SEPTIC INSTALLED","WATER INSTALLED","POWER INSTALLED",NA,NA,219,"N","N","N","N","N","N","N",1
