Parcel_Number,sale_price,Sale_Date,Land_Economic_Area,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_healthcare,near_libraries,near_policestation,near_schools,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
6430490641,570000,2018-08-22,2013-07-01,0.298,1,0,1351,1,1,1,1,0,1,1,2562,1,6,5,0,0,0,1,1,0,2,2,3,2.75,1990
6430491510,362500,2018-04-18,2013-07-01,0.2031,0,0,1351,1,0,1,0,0,1,1,1914,1,6,5,0,0,0,1,1,0,1,2,3,2.75,1988
6430493480,327500,2018-08-14,2013-07-01,0.3734,0,0,1351,1,1,1,1,0,1,1,1894,1,6,5,0,0,0,1,1,0,1,2,3,2.25,1990
6440000740,250000,2018-03-30,2017-01-14,0.1388,0,0,943,0,1,1,0,1,1,0,1004,1,6,3,0,0,0,0,0,1,0,1,2,1,1969
6440000900,221000,2018-07-18,2017-01-14,0.1354,0,0,943,0,1,0,0,1,1,0,1164,1,6,2,0,0,0,0,0,0,0,1,2,1,1946
6440000950,279500,2018-08-28,2017-01-14,0.176,0,0,943,0,1,0,0,1,1,0,2442,1,5,4,0,0,0,0,0,0,0,2,3,1.5,1970
6440001430,234000,2018-05-16,2017-01-14,0.1354,0,0,943,0,1,0,0,1,1,0,768,1,6,4,0,1,0,1,0,0,0,1,2,1,1972
6440001901,330000,2018-10-06,2017-01-14,0.1469,0,0,943,0,1,0,0,1,1,0,1768,1,6,4,1,0,0,1,0,0,0,2,3,2,1990
6440002050,237000,2018-08-30,2017-01-14,0.2203,0,0,943,0,1,0,0,1,1,0,1119,1,6,3,0,0,0,0,1,0,0,1,2,1,1972
6440002600,264900,2018-10-15,2017-01-14,0.2203,0,0,943,0,1,0,0,1,1,0,1324,1,6,4,0,0,0,0,0,0,0,1,2,1,1976
6440004010,165000,2018-04-17,2017-01-14,0.1087,0,0,943,0,1,0,0,0,1,0,1064,1,6,4,0,1,0,1,0,0,0,1,2,1,2006
6440004091,285000,2018-07-20,2017-01-14,0.1354,0,0,943,0,1,0,0,0,1,0,778,1,6,4,1,1,0,1,0,0,0,1,3,1,1995
6440004416,245000,2018-07-12,2017-01-14,0.1469,0,0,943,0,1,0,0,1,1,0,1220,1,6,4,0,0,0,0,0,0,0,1,3,1,1986
