"","Parcel_Number","sale_price","Sale_Date","Land_Economic_Area","Land_Net_Acres","View_Quality","Waterfront_Type","Crime_Num","withInSewerImprovement","near_firestation","near_healthcare","near_libraries","near_policestation","near_schools","near_waterplants","square_feet","condition","quality","attic_finished_square_feet","basement_square_feet","basement_finished_square_feet","porch_square_feet","attached_garage_square_feet","detached_garage_square_feet","fireplaces","stories","bedrooms","bathrooms","year_built"
"11465",319052056,268000,2018-10-09,2018-02-24,1.11,"0","0",5407,"1","0","0","0","0","1","0",1763,"6","4","0","0","0","0","0","0",2,1,3,1.75,1974
"11466",319052124,157500,2018-09-11,2018-02-24,0.1561,"0","0",5407,"1","0","0","0","0","1","0",1508,"1","2","0","0","0","0","0","0",0,1.5,3,2,1944
"11467",319056045,324000,2018-03-26,2018-02-24,0.2066,"0","0",5407,"1","0","0","0","0","1","0",2217,"6","5","0","0","0","1","1","0",1,2,4,2.75,2005
"11468",319094043,305000,2018-09-04,2018-02-24,0.31,"0","0",5407,"1","1","1","1","1","1","0",1784,"6","2","0","0","0","1","0","0",1,2,4,2,1972
"11469",319094081,320000,2018-01-29,2018-02-24,0.5647,"0","0",5407,"1","1","1","0","0","1","0",2405,"6","3","0","0","0","0","0","0",1,1,2,1.5,1974
"11470",319094168,325000,2018-11-29,2018-02-24,0.35,"0","0",5407,"0","1","1","0","0","1","0",1820,"6","5","0","0","0","1","1","1",0,1,4,2,1983
"11471",319098003,280000,2018-02-01,2018-02-24,0.26,"0","0",5407,"1","1","1","0","0","1","0",2028,"4","3","0","0","0","0","0","0",1,1.5,3,2,1959
"11472",319098044,314999,2018-05-24,2018-02-24,0.2117,"0","0",5407,"1","1","1","1","0","1","0",1540,"6","5","0","0","0","0","1","0",1,2,4,2.5,2017
"11473",319103058,381000,2018-09-06,2009-01-02,0.7747,"0","0",5407,"0","0","0","0","0","1","0",2054,"6","5","0","1","0","1","0","0",1,2,3,2.5,2000
"11474",319112030,2e+05,2018-12-20,2009-12-15,0.4476,"0","0",5407,"0","0","0","1","1","1","0",1888,"6","4","0","0","0","0","0","0",1,1,3,1.5,1976
"11475",319118004,392500,2018-06-18,2009-12-15,1.3,"0","0",5407,"0","0","0","1","1","1","0",2568,"6","4","0","0","0","0","0","0",1,1,3,2,2000
"11476",319121046,340000,2018-06-29,2008-04-13,0.8758,"0","0",5407,"0","0","0","1","0","1","0",1106,"5","3","0","0","0","0","0","0",1,1,3,1,1974
"11477",319121058,190000,2018-03-27,2008-04-13,0.712,"0","0",5407,"0","0","0","1","0","1","0",1554,"5","5","0","0","0","1","1","0",1,1,3,1.75,1982
"11478",319121061,340000,2018-06-29,2008-04-13,0.1932,"0","0",5407,"0","0","0","1","0","1","0",1003,"5","3","0","0","0","1","0","0",0,1,3,1.5,1961
"11479",319122033,385000,2018-10-15,2009-12-15,1.7099,"0","0",5407,"0","0","0","1","1","1","0",2436,"6","4","0","0","0","0","0","0",0,2,1,2,1998
"11480",319123056,235000,2018-03-15,2009-12-15,0.2699,"0","0",5407,"0","1","0","0","0","1","0",1344,"6","4","0","0","0","1","0","0",1,1,3,1.5,1981
"11481",319124022,408000,2018-01-19,2009-12-15,2.42,"0","0",5407,"0","1","0","1","0","1","0",2567,"6","4","0","0","0","0","0","0",2,2,4,1.75,1974
"11482",319124061,208000,2018-11-19,2009-12-15,0.2,"0","0",5407,"0","1","0","0","0","1","0",1486,"5","3","0","0","0","1","0","0",1,1,3,1.5,1980
"11483",319136005,235000,2018-01-09,2009-12-15,0.4741,"0","0",5407,"0","0","0","0","0","1","0",1032,"6","4","0","0","0","1","1","0",1,1,3,1.5,1984
